Nom;Jour;Mois;Année;HeureTU;MinuteTU;Latitude;Longitude
Dominique BONA;29;7;1953;6;0;42.41N;2.54E
Gabriel DE BROGLIE;21;4;1931;0;30;48.48N;2.08E
Hélène CARRIERE D'ENCAUSSE;6;7;1929;18;0;48.51N;2.21E
Barbara CASSIN;24;10;1947;10;15;48.50N;2.14E
Jean CLAIR;20;10;1940;20;0;48.51N;2.21E
Claude DAGENS;20;5;1940;11;20;44.50N;0.35O
Xavier DARCOS;14;7;1947;22;59;45.50N;1.16E
Florence DELAY;19;3;1941;5;0;48.51N;2.21E
Dominique FERNANDEZ;25;8;1929;17;0;48.53N;2.16E
Alain FINKIELKRAUT;30;6;1949;0;15;48.51N;2.21E
Patrick GRAINVILLE;1;6;1947;21;30;49.19N;0.00O
Jules HOFFMANN;2;8;1941;14;30;49.37N;6.08E
Marc LAMBRON;4;2;1957;14;0;45.46N;4.50E
Jean-Luc MARION;3;7;1946;12;0;48.49N;2.14E
Pierre NORA;17;11;1931;0;15;48.51N;2.21E
Erik ORSENNA;22;3;1947;12;15;48.51N;2.21E
Pascal ORY;31;7;1948;9;10;48.35N;1.2O
Daniel RONDEAU;7;5;1948;1;30;49.03N;3.57E
Pierre ROSENBERG;13;4;1936;5;30;48.51N;2.21E
Jean-Marie ROUART;8;4;1943;9;20;48.53N;2.16E
Jean-Christophe RUFIN;28;6;1952;20;0;47.05N;2.24E
Danièle SALLENAVE;28;10;1940;12;10;47.28N;0.33O
François SUREAU;19;9;1957;15;25;48.86N;2.35E
Chantal THOMAS;18;10;1945;18;0;45.76N;4.84E
Mario VARGAS LLOSA;28;3;1936;5;45;16.41S;71.54O
Frédéric VITOUX;19;8;1944;1;0;47.56N;2.16E
Michel ZINK;5;5;1945;17;45;48.49N;2.16E
